what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1431074028103
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1431074028105
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1431074028119
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1431074028122
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1431074028132
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1431074028133
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1431074028135
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1431074028145
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1431074028147
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1431074028148
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1431074028150
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1431074028152
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1431074028154
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1431074028155
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1431074028155
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1431074028156
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1431074028158
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1431074028161
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1431074028162
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1431074028165
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1431074028166
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1431074028168
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1431074028200
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1431074028200
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1431074028200
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1431074028200
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1431074028200
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1431074028210
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1431074028210
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1431074028210
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1431074028210
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1431074028220
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1431074028220
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1431074028220
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1431074028220
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1431074028220
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1431074028220
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1431074028220
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1431074028230
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1431074028230
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1431074028230
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1431074028230
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1431074028230
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1431074028240
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1431074028240
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1431074028240
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1431074028240
os,sysinfo,,,"win32",1431074028257
arch,sysinfo,,,"x86",1431074028257
ws,sysinfo,,,"win32",1431074028257
locale,sysinfo,,,"en_US",1431074028257
processors,sysinfo,,,"2",1431074028257
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1431074028257
java.runtime.version,sysinfo,,,"1.6.0-OpenSCG-Build-24-b1",1431074028257
java.specification.name,sysinfo,,,"Java Platform API Specification",1431074028257
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1431074028257
java.specification.version,sysinfo,,,"1.6",1431074028257
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1431074028257
java.version,sysinfo,,,"1.6.0-OpenSCG-Build-24",1431074028257
java.vm.info,sysinfo,,,"mixed mode",1431074028257
java.vm.name,sysinfo,,,"OpenJDK Client VM",1431074028257
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1431074028257
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1431074028257
java.vm.specification.version,sysinfo,,,"1.0",1431074028257
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1431074028257
java.vm.version,sysinfo,,,"20.0-b12",1431074028257
started,bundle,org.eclipse.m2e.usagedata,0.13.0.201105260005,"org.eclipse.m2e.usagedata",1431074028263
activated,view,org.squashtest.ta.eclipse.squash-ta-eclipse-plugin,,"org.squashtest.ta.eclipse.plugin.navigator",1431074028272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431074041853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431074045340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431074082507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431074122438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431074124368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431074126592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431074141185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431074160844
